route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10612,2_merged_1235635,1178036,46 - VINE ST-Downtown Hartford,1,b_89073,120086
10612,1_merged_1235633,1178037,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89081,120085
10612,1_merged_1235633,1178038,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89091,120085
10612,1_merged_1235633,1178039,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89087,120085
10612,1_merged_1235633,1178040,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89086,120085
10612,1_merged_1235633,1178041,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89096,120085
10612,1_merged_1235633,1178042,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89083,120085
10612,1_merged_1235633,1178043,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89093,120085
10612,1_merged_1235633,1178044,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89081,120085
10612,1_merged_1235633,1178045,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89079,120085
10612,1_merged_1235633,1178046,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89091,120085
10612,1_merged_1235633,1178047,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89092,120085
10612,1_merged_1235633,1178048,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89082,120085
10612,1_merged_1235633,1178049,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89087,120085
10612,1_merged_1235633,1178050,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89080,120085
10612,1_merged_1235633,1178051,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89086,120085
10612,1_merged_1235633,1178052,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89083,120085
10612,1_merged_1235633,1178053,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89081,120085
10612,1_merged_1235633,1178054,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89079,120085
10612,1_merged_1235633,1178055,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89082,120085
10612,1_merged_1235633,1178056,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89080,120085
10612,1_merged_1235633,1178057,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89086,120085
10612,1_merged_1235633,1178058,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89083,120085
10612,1_merged_1235633,1178059,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89081,120085
10612,1_merged_1235633,1178060,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89079,120085
10612,1_merged_1235633,1178061,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89082,120085
10612,1_merged_1235633,1178062,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89080,120085
10612,1_merged_1235633,1178063,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89086,120085
10612,1_merged_1235633,1178064,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89083,120085
10612,1_merged_1235633,1178065,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89081,120085
10612,1_merged_1235633,1178066,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89079,120085
10612,1_merged_1235633,1178067,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89082,120085
10612,1_merged_1235633,1178068,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89085,120085
10612,1_merged_1235633,1178069,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89080,120085
10612,1_merged_1235633,1178070,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89086,120085
